,body_length,description,gts,listed,name_length,num_order,num_payouts,org_desc,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
52,5325,0.011641527527141295,10364.13,1,23,82,0,0.10368451742511677,70,0,432000,0,1,0,1
53,1167,0.10875922105322856,267.69,1,78,16,4,0.04402924186091594,53,0,432000,33073584,1,0,1
54,3081,0.2549812681423317,16276.45,1,32,9,0,0.5421306367673777,6,1,432000,1,1,0,1
55,1239,0.04859137281087951,1439.82,1,21,7,21,0.07354522658462284,219,0,428400,7752259,1,0,1
56,1615,0.06872799020876386,969.36,1,57,48,1034,0.10368451742511677,56,0,432000,47759661,0,1,0
57,6463,0.11591637217701245,442.67,1,9,15,15,0.08249883257263999,47,0,432000,26990652,1,0,1
58,3648,0.026994837521551563,88.36,1,17,4,0,0.015418247922165644,71,0,432000,1,1,0,1
59,191,0.12817596232927234,329.39,1,45,16,1,0.10053406573106269,17,0,432000,1,1,0,1
60,5259,0.05579985657475653,349.79,1,9,16,17,0.08249883257263999,28,0,432000,32850313,1,0,1
61,4765,0.01883769686445896,7991.66,1,139,392,2,0.10368451742511677,13,0,432000,46286016,1,0,1
62,2075,0.04278413203740227,18395.0,1,14,113,0,0.10368451742511677,63,0,432000,5448499,1,1,0
63,3914,0.02542623970948835,32.11,1,24,2,0,0.03654176348422333,8,0,432000,14287078,1,0,1
64,0,0.12817596232927234,1289.28,1,7,17,2,0.04668790233466737,8,0,432000,4058907,1,0,1
65,1545,0.04685412843840652,580.0,1,74,28,27,0.04573499113564277,32,0,432000,83681546,0,0,1
66,4873,0.03310757826403239,65.28,1,46,1,0,0.04259782240574333,34,0,432000,39749450,1,0,1
67,4352,0.022748726936226173,67.24,1,119,2,0,0.04752957913383464,42,0,432000,9329808,1,0,1
68,7583,0.03839431351701328,18.78,1,26,2,0,0.06121785924265437,10,0,432000,32156797,1,0,1
69,1386,0.0720114347341636,437.94,1,57,36,0,0.07839404310249218,25,0,432000,32756603,1,0,1
70,0,0.1683912543676158,65.28,0,31,3,0,0.10368451742511677,65,1,432000,456,1,0,1
71,1653,0.017006115505343335,80.0,1,36,5,2,0.10368451742511677,36,0,432000,13722743,1,1,0
72,4154,0.04738209742799538,20.0,1,81,2,6,0.010688865531349434,74,0,432000,3099741,1,1,0
73,756,0.11958088716424331,80.0,1,28,3,0,0.07285722549606972,100,0,432000,1,1,0,1
74,1765,0.1683912543676158,69.24,1,44,2,26,0.10368451742511677,16,0,432000,40016368,1,0,1
75,1512,0.1008163548994233,57.7,1,44,3,28,0.10368451742511677,22,0,432000,40018626,1,0,1
76,3070,0.031516892247093975,1000.0,1,50,40,1,0.10368451742511677,45,0,432000,25914576,1,1,0
77,1631,0.04409159249794041,16.12,1,22,2,0,0.044006628321627154,20,0,435600,7440467,1,0,1
78,3188,0.029427997835248305,405.45,1,81,10,23,0.08257518263637496,47,0,432000,102396982,1,0,1
79,1934,0.0858384780053936,32.06,1,106,2,0,0.07744226046288304,21,0,432000,61360987,1,0,1
80,666,0.09366607037091439,1058.96,0,18,4,0,0.10368451742511677,14,0,432000,1,1,0,1
81,122,0.1683912543676158,149.68,1,41,1,2,0.010418588812308826,0,0,432000,27619970,0,1,0
82,1733,0.025500988617915367,311.58,1,53,12,18,0.05544916126523887,15,0,432000,46052210,1,0,1
83,7057,0.03939949208665987,38963.53,1,52,220,13,0.10053406573106269,281,0,432000,79421,1,0,1
84,0,0.1683912543676158,4250.0,0,19,1,0,0.032846707371857936,0,0,432000,3706283,0,0,1
85,3761,0.036772127959609,45.38,1,37,3,0,0.04998861399072607,29,0,432000,62539423,1,0,1
86,8452,0.015257606893994942,1023.84,1,32,23,0,0.10368451742511677,32,0,432000,1,1,0,1
87,7825,0.034924063610322346,255.08,1,54,1,658,0.10368451742511677,48,0,432000,98831748,1,0,1
88,420,0.1683912543676158,875.08,1,27,19,4,0.05705510680234989,44,0,432000,52531554,1,1,0
89,8131,0.014565076606929295,2351.76,1,47,8,85,0.06919878621816779,114,0,432000,39406110,1,0,1
90,6127,0.03715330752806581,1295.0,1,113,1,14,0.10368451742511677,158,0,432000,21339783,0,0,1
91,4136,0.0401874565518179,39.64,1,30,1,0,0.031489877640812944,58,0,432000,4890726,0,0,1
