,acct_type,body_length,gts,listed,name_length,num_order,num_payouts,sale_duration2,fraud_target,time_to_payout,time_till_event,is_country_same,CHECK,ACH
35,premium,2102,8005.66,1,55,48,0,24,0,432000,False,1,0,1
36,premium,1925,515.96,1,28,10,1,38,0,432000,False,1,1,0
37,premium,7694,1336.03,1,28,16,4,60,0,432000,False,1,1,0
38,premium,3514,1899.53,1,47,78,1,9,0,432000,False,1,0,1
39,premium,1751,4859.48,1,79,23,0,128,0,432000,False,1,1,0
40,premium,3164,2.04,1,28,1,0,68,0,432000,False,1,0,1
41,premium,445,145.38,1,44,2,0,12,0,432000,False,1,0,1
42,premium,1837,77.76,1,48,20,0,18,0,432000,False,1,1,0
43,premium,9466,48.46,1,82,1,1,0,0,432000,False,1,1,0
44,premium,924,52.62,1,41,2,2,36,0,432000,False,1,0,1
45,premium,4179,1203.31,1,49,30,1,61,0,432000,False,1,0,1
46,premium,1646,6.26,1,15,1,39,97,0,432000,False,1,0,1
47,premium,7972,1133.57,1,254,15,0,24,0,432000,False,1,0,1
